id,titre,auteur,genre,annee,description,couverture_url
1,Pride and Prejudice,Jane Austen,Fiction,1813,,https://covers.openlibrary.org/b/id/14348537-M.jpg
2,Alice's Adventures in Wonderland,Lewis Carroll,Fiction,1865,,https://covers.openlibrary.org/b/id/10527843-M.jpg
3,A Christmas Carol,Charles Dickens,Fiction,1843,,https://covers.openlibrary.org/b/id/12875748-M.jpg
4,The Picture of Dorian Gray,Oscar Wilde,Fiction,1890,,https://covers.openlibrary.org/b/id/14314858-M.jpg
5,Wuthering Heights,Emily Brontë,Fiction,1846,,https://covers.openlibrary.org/b/id/12818862-M.jpg
6,Adventures of Huckleberry Finn,Mark Twain,Fiction,1876,,https://covers.openlibrary.org/b/id/8157718-M.jpg
7,Robinson Crusoe,"Daniel Defoe, J. J. Grandville, Petrus Borel, Les éditions du Rey",Fiction,1686,,https://covers.openlibrary.org/b/id/368541-M.jpg
8,The Scarlet Letter,Nathaniel Hawthorne,Fiction,1800,,https://covers.openlibrary.org/b/id/5654516-M.jpg
9,Hamlet,William Shakespeare,Fiction,1603,,https://covers.openlibrary.org/b/id/8281954-M.jpg
10,Emma,Jane Austen,Fiction,1815,,https://covers.openlibrary.org/b/id/9278312-M.jpg
11,Oliver Twist,Charles Dickens,Fiction,1822,,https://covers.openlibrary.org/b/id/13300802-M.jpg
12,Frankenstein or The Modern Prometheus,Mary Shelley,Fiction,1818,,https://covers.openlibrary.org/b/id/12356249-M.jpg
13,Sense and Sensibility,Jane Austen,Fiction,1811,,https://covers.openlibrary.org/b/id/9278292-M.jpg
14,A Tale of Two Cities,Charles Dickens,Fiction,1800,,https://covers.openlibrary.org/b/id/13301713-M.jpg
15,The Wonderful Wizard of Oz,L. Frank Baum,Fiction,1899,,https://covers.openlibrary.org/b/id/552443-M.jpg
16,Treasure Island,Robert Louis Stevenson,Fiction,1880,,https://covers.openlibrary.org/b/id/13859660-M.jpg
17,Little Women,Louisa May Alcott,Romance,1848,,https://covers.openlibrary.org/b/id/8775559-M.jpg
18,Анна Каренина,Лев Толстой,Romance,1876,,https://covers.openlibrary.org/b/id/2560652-M.jpg
19,Jane Eyre,Charlotte Brontë,Romance,1847,,https://covers.openlibrary.org/b/id/8235363-M.jpg
20,Northanger Abbey,Jane Austen,Romance,1818,,https://covers.openlibrary.org/b/id/12567961-M.jpg
21,Ethan Frome,Edith Wharton,Romance,1910,,https://covers.openlibrary.org/b/id/8303480-M.jpg
22,The Moonstone,Wilkie Collins,Romance,1800,,https://covers.openlibrary.org/b/id/8237041-M.jpg
23,Le Comte de Monte Cristo,Alexandre Dumas,Romance,1830,,https://covers.openlibrary.org/b/id/14566393-M.jpg
24,Riders of the Purple Sage,Zane Grey,Romance,1912,,https://covers.openlibrary.org/b/id/872066-M.jpg
25,A Room with a View,E. M. Forster,Romance,1905,,https://covers.openlibrary.org/b/id/1748132-M.jpg
26,Uncle Tom's Cabin,Harriet Beecher Stowe,Romance,1850,,https://covers.openlibrary.org/b/id/12728198-M.jpg
27,Women in Love,D. H. Lawrence,Romance,1877,,https://covers.openlibrary.org/b/id/13140934-M.jpg
28,Heart of Darkness,Joseph Conrad,Romance,1899,,https://covers.openlibrary.org/b/id/12307847-M.jpg
29,She,H. Rider Haggard,Romance,1886,,https://covers.openlibrary.org/b/id/295537-M.jpg
30,Howards End,E. M. Forster,Romance,1910,,https://covers.openlibrary.org/b/id/8235207-M.jpg
